Id,Command type2,Function group,Description,Read,Write,Acoustic,Optical,Radio,Induction,Communications,Representation,Notes,Proposed by
1,Common params,,Manufacturer name,F/F,N/N,,,,,,"Unicode string, null terminated, must read at least first 64 characters",,
2,SWiG Main,,SWIG Version Major,F/F,N/N,,,,,,"8 bit integer- e.g. version 3.X represented as 3
",,
,,,SWIG Version Minor,,,,,,,,8 bit integer- e.g. version X.2 represented as 2,,
,Type version,,SWIG Type Version Major,,,,,,,,"8 bit integer- e.g. version 3.X represented as 3
",,
2,,,SWIG Type Version Minor,F/F,N/N,,,,,,8 bit integer- e.g. version X.2 represented as 2,,
3,Group params,,Device Type,F/F,N/N,,,,,,"8 bit integer based on enum 
(e.g. 0 = Acoustic, 1 = FSO, etc)",,
4,,,C(omms) classification,F/F,N/N,,,,,,1 byte Integer (enum based on table in SWiG standard),,
,,,P(ower) classification,F/F,N/N,,,,,,1 byte Integer (enum based on table in SWiG standard),,
,,,D(istance) classification,F/F,N/N,,,,,,1 byte Integer (enum based on table in SWiG standard),,
,,,Lateral displacement,F/F,N/N,,,,,,Based on table to be defined,Come up with a classification that captures the restrictions for different devices,
,,,Angular displacement (opening angle?),F/F,N/N,,,,,,Directivity / angle (based on optical standard table?),Come up with a classification that captures the restrictions for different devices,
,,,Networking capabilites,F/F,N/N,,,,,,Placeholder,,
5,Manufacturer params,,Hardware Version,F/F,N/N,,,,,,"Unicode string, null terminated",,
6,,,Firmware version,F/F,N/N,,,,,,"Unicode string, null terminated",,
7,,,GTIN,F/F,N/N,,,,,,"Unicode string, null terminated",,
8,,,Unique identifier within manufacturer,F/F,N/N,,,,,,"Unicode string, null terminated",,
9,,,Product name,F/F,N/N,,,,,,"Unicode string, null terminated",,
10,Device power input params,,Max Input Power,F/F,N/N,,,,,,"16-bit integer, watts (W)",Datasheet parameters,
11,,,Min Input Voltage,F/F,N/N,,,,,,"16-bit integer, volts (V) * 10, eg. V=14,9 represented as 149",Datasheet parameters,
12,,,Max Input Voltage,F/F,N/N,,,,,,"16-bit integer, volts (V) * 10, eg. V=14,9 represented as 149",Datasheet parameters,
,Device power output params,,Max Design Output Power,F/F,N/N,N,N,N,,N,"16-bit integer, watts (W)",Datasheet parameters,
,,,Min Output Voltage,F/F,N/N,N,N,N,,N,"16-bit integer, volts (V) * 10, eg. V=14,9 represented as 149",Datasheet parameters,
,,,Max Output Voltage,F/F,N/N,N,N,N,,N,"16-bit integer, volts (V) * 10, eg. V=14,9 represented as 149",Datasheet parameters,
13,Standard device params,,Maximum supported data rate,F/F,N/N,,,,,,"32-bit integer, Bits per second (bps)",,
14,,,Maximum TX Buffer Size,F/F,N/N,,,,,,"32-bit integer, Bytes",Maximum buffer supported for transmission,
15,,,Maximum Setpoint Wireless power delivery,F/F,N/N,N,N,N,,N,"16-bit integer, power in Watts (W)",,
16,,,Requested data rate,F/F,F/F,,,,,,"Requested data rate as identified by the communicaiton standard. 32/bit integer, bits per second (bps)",,
17,,,Current negotiated data rate,F/F,N/N,,,,,,"Bits per second, as 32-bit integer",,
18,,,Available data rates,F/F,N/N,,,,,,"bit array 32 bits, aligned with listed data rates from relevant standard",are all versions included or just the current level?,
19,,,Maximum RX buffer size,F/F,N/N,,,,,,"32-bit integer, Bytes",,
20,Read-only params,,Startup Config,F/F,N/N,,,,,N,Structured data,"Is it necessary? If all initial values at bootup, then in what format?",
